n√∫mero; t√≠tulo; autor; editora; edi√ß√£o; ano; p√°ginas; pre√ßo (R$); total (R$)
1; 10 liá‰es sobre hume; Marconi Pequeno; Editora Vozes; 1a ed.; 2012; 166 pag.; R$ 10
2; 100 obras chaves da filosofia; SÇbastien Camus...[et al.]; Editora Vozes; 2a ed.; 2011; 261 pag.; R$ 30
3; 1001 filmes para ver antes de morrer; Steven Jay Schneider; Editora Sextante; 1a ed.; 2013; 960 pag.; R$ 100
4; 1001 livros para ler antes de morrer; Peter Boxall; Editora Sextante; 1a ed.; 2010; 860 pag.; R$ 90
5; 1001 maravilhas naturais para ver antes de morrer; Michael Bright; Editora Sextante; 1a ed.; 2009; 960 pag.; R$ 50
6; 1001 videogames para jogar antes de morrer; Tony Mott; Editora Sextante; 1a ed.; 2013; 960 pag.; R$ 50
7; 50 autores-chave de filosofia; Katy Grissault; Editora Vozes; 1a ed.; 2012; 286 pag.; R$ 30
8; 50 ideias de f°sica quÉntica que vocà precisa conhecer; Joanne Baker; Editora Planeta; 1a ed.; 2015; 214 pag.; R$ 20
9; a arte da guerra; Sun Tzu; Editora Paz e Terra; 1a ed.; 1997; 141 pag.; R$ 5
10; a arte da guerra (mang†); Sun Tzu; Editora L&PM; 1a ed.; 2018; 208 pag.; R$ 10
11; a arte de falar em p£blico; Osmar Barbosa; Editora Ediouro; 1a ed.; ; 296 pag.; R$ 10
12; a arte de resolver problemas; G. Polya; Editora Interciància; 1a ed.; 2006; 203 pag.; R$ 20
13; a arte de sonhar; Carlos Castaneda; Editora C°rculo do Livro; 1a ed.; 1993; 271 pag.; R$ 100
14; a arte de ter raz∆o; Arthur Schopenhauer; Editora WMF Martins Fontes; 3a ed.; 2014; 116 pag.; R$ 15
15; a b°blia de jerusalÇm; ; Editora Ediá‰es Paulinas; 1a ed.; 1981; 1161 pag.; R$ 150
16; a b°blia do mma; Anderson Silva; Editora Universo dos Livros; 1a ed.; 2012; 368 pag.; R$ 60
17; a economia em linguagem matem†tica; Robert C. Bingham; Editora Zahar Editores; 1a ed.; 1975; 500 pag.; R$ 20
18; a estratÇgia pounce de investimentos; Ken Stern; Editora Elsevier; 1a ed.; 2010; 283 pag.; R$ 20
19; a filosofia do punk: mais do que barulho; Craig O'Hara; Editora Radical Livros; 1a ed.; 2005; 200 pag.; R$ 25
20; a gin†stica chinesa; Dr. Dahong Zhuo; Editora Record; 2a ed.; 1984; 191 pag.; R$ 20
21; a hist¢ria de deus; ; Editora Ediouro; 1a ed.; ; 129 pag.; R$ 5
22; a imagem do pensamento libras; Sueli Ramalho Segala e Catarina Kiguti Kojima; Editora Escala; 2a ed.; 2019; 399 pag.; R$ 50
23; a l¢gica da pesquisa cient°fica; Karl R. Popper; Editora Cultrix; 2a ed.; 2013; 454 pag.; R$ 50
24; a matem†tica do ensino mÇdio vol. 4: enunciados e soluá‰es dos exerc°cios; Elon Lages Lima... [et al.]; Editora SBM; 1a ed.; 2010; 384 pag.; R$ 20
25; a origem das espÇcies; Charles Darwin; Editora Martin Claret; 1a ed.; 2014; 572 pag.; R$ 30
26; a prova de godel; Ernest Nagel e James R. Newman; Editora Perspectiva; 2a ed.; 2012; 100 pag.; R$ 20
27; a revoluá∆o russa; AndrÇ Diniz; Editora Escala Educacional; 1a ed.; 2008; 48 pag.; R$ 5
28; a tempestade; William Shakespeare; Editora Lafonte; 1a ed.; 2011; 143 pag.; R$ 10
29; a utilizaá∆o ritual e m†gica dos perfumes; Richard Alan Miller e Iona Miller; Editora Nova Era; 3a ed.; 1997; 199 pag.; R$ 20
30; abaced†rio da †lgebra vol. 1; Darcy Leal de Menezes; Editora Livraria Nobel; 5a ed.; 1975; 483 pag.; R$ 10
31; abaced†rio da †lgebra vol. 2; Darcy Leal de Menezes; Editora Livraria Nobel; 9a ed.; 1975; 674 pag.; R$ 10
32; aikido a esfera dinÉmica; Adele Westbrook e Oscar Ratti; Editora Madras; 1a ed.; 2006; 398 pag.; R$ 200
33; aikido evoluá∆o passo a passo; Moriteru Ueshiba; Editora Pensamento; 1a ed.; 2008; 205 pag.; R$ 50
34; aikodo: o caminho da sabedoria; Wagner J. Bull; Editora Pensamento; 10a ed.; 1995; 383 pag.; R$ 20
35; algebra linear; Alfredo Steinbruch e Paulo Winterle; Editora Pearson Makron Books; 2a ed.; 2009; 583 pag.; R$ 35
36; algebra linear e aplicaá‰es; Carlos A. Callioli... [et al.]; Editora Atual; 6a ed.; 1990; 352 pag.; R$ 50
37; algebra linear exerc°cios e soluá‰es; Ralph Costa Teixeira; Editora IMPA; 3a ed.; 2014; 438 pag.; R$ 25
38; algoritmos e estruturas de dados; ∂ngelo de M. Guimar∆es e Newton A. de C. Lages; Editora LTC; 1a ed.; 2008; 216 pag.; R$ 100
39; alimentos: seleá∆o e preparo; Aleta McDowell Crawford; Editora Record; 2a ed.; 1985; 383 pag.; R$ 20
40; almanaque dos c∆es; ; Editora Escala; 1a ed.; 2011; 451 pag.; R$ 10
41; anarquismo e liberdade na pr†tica; Carlos Algusto Addor, Lynn Hunt e Eddy Stols; Editora Revista de Hist¢ria da Biblioteca Nacional; 1a ed.; 2013; 98 pag.; R$ 5
42; anatomia de grant; J. V. Basmajian; Editora Manole; 10a ed.; 1993; 683 pag.; R$ 20
43; an†lise real vol. 1: funá‰es de uma vari†vel; Elon Lages Lima; Editora IMPA; 8a ed.; 2006; 189 pag.; R$ 10
